桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K85+525,5.464,0.000,5.088,-9.405,7.499,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+550,3.689,0.003,4.895,-9.253,6.941,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+575,4.270,0.000,4.829,-9.128,6.919,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+600,2.347,0.000,4.137,-6.790,6.985,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+625,0.968,0.005,4.003,-6.628,6.698,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+650,0.100,0.306,3.914,-6.440,6.591,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+675,0.000,1.580,3.865,-6.527,6.335,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+700,0.000,2.955,3.667,-5.988,6.207,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+725,0.000,3.891,3.647,-6.020,6.111,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+750,0.000,4.008,3.587,-6.003,5.938,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+775,0.000,5.299,3.388,-5.535,5.735,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+800,0.000,4.195,3.449,-5.632,5.815,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+825,0.000,5.267,3.362,-5.107,5.938,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+850,0.000,4.479,3.417,-5.494,5.853,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+875,0.000,3.561,3.508,-5.712,5.892,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+900,0.000,4.500,3.436,-5.586,5.810,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+925,0.000,3.853,3.388,-5.306,5.892,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+950,0.000,5.905,3.198,-5.006,5.609,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K85+975,0.000,5.552,3.254,-5.030,5.744,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+000,0.000,5.654,3.326,-5.233,5.744,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+025,0.000,5.597,3.341,-5.362,5.721,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+050,0.000,5.808,3.984,-5.710,7.550,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+075,0.000,4.917,3.462,-5.566,5.941,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+100,0.000,4.917,3.480,-5.580,5.912,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+125,0.000,4.610,3.538,-5.870,5.888,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+150,0.000,4.656,3.518,-5.506,6.126,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+175,0.000,5.119,3.452,-5.313,6.147,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+200,0.000,4.038,3.545,-5.662,6.101,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+225,0.000,3.766,3.596,-5.748,6.178,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+250,0.000,3.197,3.643,-5.683,6.386,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+275,0.000,4.532,3.463,-5.612,5.892,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+300,0.000,2.849,3.584,-5.649,6.177,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+325,0.000,3.756,3.497,-5.195,6.402,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+350,0.001,2.767,3.637,-5.642,6.410,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+375,0.237,1.640,3.769,-5.864,6.592,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+400,0.478,0.998,3.752,-5.741,6.666,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+425,2.083,0.293,3.930,-6.240,6.779,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+450,3.064,0.042,4.150,-6.671,7.034,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+475,5.532,0.019,4.962,-9.081,7.344,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+500,6.652,0.000,5.129,-9.487,7.495,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+525,0.875,0.191,3.902,-6.518,6.435,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
